neighborhood_id,blkgrp_year,gisjoin,percent_inside
145,2010,G41000500238005,0.093
148,2010,G41000500238003,99.605
175,2010,G41000500211001,0.482
186,2010,G41000500211001,34.923
355,2010,G41000500211001,64.062
52,2010,G41000500211001,0.007
185,2010,G41000500211001,0.526
175,2010,G41000500212001,0.743
230,2010,G41000500212001,0.919
37,2010,G41000500212001,50.428
191,2010,G41000500212001,47.833
255,2010,G41000500212001,0.077
107,2010,G41006700310061,0.017
76,2010,G41006700310061,64.442
67,2010,G41006700310061,35.11
35,2010,G41006700310061,0.431
107,2010,G41006700310064,0.26
76,2010,G41006700310064,99.025
366,2010,G41006700310064,0.549
97,2010,G41006700310064,0.166
302,2010,G41006700314042,84.192
69,2010,G41006700314042,15.808
69,2010,G41006700301022,1.126
39,2010,G41006700301022,90.843
354,2010,G41006700301022,8.03
428,2010,G41006700301022,0
18,2010,G41006700301014,0.316
39,2010,G41006700301014,99.678
429,2010,G41006700301014,0.006
51,2010,G41006700316093,0.026
24,2010,G41006700316093,99.941
412,2010,G41006700316093,0.034
245,2010,G41006700318142,99.781
223,2010,G41006700318142,0.135
32,2010,G41006700318142,0.084
250,2010,G41006700327001,0
81,2010,G41006700327001,1.22
442,2010,G41006700327001,98.757
31,2010,G41006700326044,0.005
412,2010,G41006700326044,98.771
442,2010,G41006700326044,1.223
412,2010,G41006700326062,100
245,2010,G41006700318141,99.849
32,2010,G41006700318141,0.151
112,2010,G41000500242002,99.953
140,2010,G41000500242002,0.047
128,2010,G41000500240002,96.213
123,2010,G41000500240002,2.113
93,2010,G41000500218013,6.628
55,2010,G41000500218013,48.893
37,2010,G41000500218013,44.479
93,2010,G41000500220001,75.334
61,2010,G41000500220001,0.061
55,2010,G41000500220001,17.021
37,2010,G41000500220001,7.584
112,2010,G41000500243022,42.42
140,2010,G41000500243022,0.705
124,2010,G41000500243022,51.847
142,2010,G41000500243022,5.027
16,2010,G41000500221013,0.043
55,2010,G41000500221013,77.951
129,2010,G41000500221013,22.006
300,2010,G41000500222072,14.679
301,2010,G41000500222072,85.321
149,2010,G41000500227081,1.171
126,2010,G41000500227081,59.906
113,2010,G41000500227081,0.034
121,2010,G41000500227081,38.697
259,2010,G41000500227081,0.044
68,2010,G41000500222062,2.236
133,2010,G41000500222062,0.003
137,2010,G41000500222062,0.057
49,2010,G41000500222062,41.222
301,2010,G41000500222062,56.482
110,2010,G41000500226061,51.339
87,2010,G41000500226061,2.382
108,2010,G41000500226061,8.837
165,2010,G41000500226061,23.681
413,2010,G41000500226061,0.044
188,2010,G41000500226061,13.439
175,2010,G41000500208001,27.966
230,2010,G41000500208001,0.105
184,2010,G41000500208001,26.563
186,2010,G41000500208001,0.149
172,2010,G41000500208001,39.37
244,2010,G41000500208001,0.052
181,2010,G41000500208001,5.754
190,2010,G41000500208001,0.025
191,2010,G41000500208001,0.016
196,2010,G41000500210001,3.473
166,2010,G41000500210001,0.774
52,2010,G41000500210001,50.079
147,2010,G41000500210001,0.409
0,2010,G41000500210001,44.99
262,2010,G41000500227021,6.905
288,2010,G41000500227021,90.254
321,2010,G41000500227021,0.329
334,2010,G41000500227021,2.511
88,2010,G41000500226051,0.001
87,2010,G41000500226051,99.895
165,2010,G41000500226051,0.027
144,2010,G41000500226051,0.066
413,2010,G41000500226051,0.011
31,2010,G41006700329012,21.29
84,2010,G41006700329012,1.161
250,2010,G41006700329012,76.797
442,2010,G41006700329012,0.753
83,2010,G41006700329024,0.481
31,2010,G41006700329024,99.519
340,2010,G41000500216023,13.213
0,2010,G41000500216023,86.787
229,2010,G41006700315042,100
366,2010,G41006700319073,0.572
97,2010,G41006700319073,0.473
304,2010,G41006700319073,98.955
68,2010,G41000500222011,0.012
0,2010,G41000500222011,98.842
49,2010,G41000500222011,1.146
92,2010,G41000500223022,71.769
219,2010,G41000500223022,28.214
226,2010,G41000500223022,0.018
302,2010,G41006700314044,100
221,2010,G41006700314032,0.017
17,2010,G41006700314032,85.339
46,2010,G41006700314032,14.644
442,2010,G41006700327002,100
145,2010,G41000500229051,21.333
149,2010,G41000500229051,78.118
339,2010,G41000500229051,0.549
412,2010,G41006700326031,3.769
442,2010,G41006700326031,96.231
412,2010,G41006700326065,100
46,2010,G41006700315112,9.829
229,2010,G41006700315112,90.171
51,2010,G41006700317063,97.969
46,2010,G41006700317063,0.613
223,2010,G41006700317063,1.418
51,2010,G41006700317031,100
229,2010,G41006700315142,100
51,2010,G41006700316091,0.171
24,2010,G41006700316091,99.829
104,2010,G41006700310044,0.181
107,2010,G41006700310044,99.548
76,2010,G41006700310044,0.039
97,2010,G41006700310044,0.232
221,2010,G41006700314022,32.981
69,2010,G41006700314022,0.002
46,2010,G41006700314022,65.497
32,2010,G41006700314022,1.52
115,2010,G41000500231003,1.329
78,2010,G41000500231003,88.51
92,2010,G41000500231003,4.803
219,2010,G41000500231003,5.358
3,2010,G41006700304021,0.091
65,2010,G41006700304021,95.134
63,2010,G41006700304021,0.003
20,2010,G41006700304021,4.772
366,2010,G41006700309001,99.928
97,2010,G41006700309001,0.072
97,2010,G41006700319112,100
92,2010,G41000500221081,0.291
93,2010,G41000500221081,5.936
16,2010,G41000500221081,90.416
301,2010,G41000500221081,3.358
140,2010,G41000500235002,13.589
124,2010,G41000500235002,20.311
142,2010,G41000500235002,66.1
114,2010,G41007100303022,0.048
85,2010,G41007100304002,0.043
434,2010,G41005100059001,94.961
244,2010,G41005100059001,0.035
347,2010,G41005100059001,5.004
434,2010,G41005100059004,99.272
435,2010,G41005100059004,0.417
194,2010,G41005100059004,0.311
72,2010,G41005100098032,65.356
137,2010,G41005100098032,25.573
378,2010,G41005100098032,8.06
422,2010,G41005100098032,1.011
72,2010,G41005100099033,0.176
137,2010,G41005100099033,34.501
422,2010,G41005100099033,65.323
343,2010,G41005100062003,1.092
391,2010,G41005100062003,1.589
392,2010,G41005100062003,97.138
408,2010,G41005100062003,0.18
253,2010,G41005100099062,5.724
47,2010,G41005100099062,3.327
299,2010,G41005100099062,90.949
99,2010,G41005100104054,99.026
251,2010,G41005100104054,0.558
53,2010,G41005100104054,0.415
251,2010,G41005100104112,0.097
53,2010,G41005100104112,99.903
251,2010,G41005100104103,99.996
53,2010,G41005100104103,0.004
343,2010,G41005100066021,26.301
194,2010,G41005100066021,72.606
391,2010,G41005100066021,1.092
343,2010,G41005100067022,0.042
63,2010,G41005100067022,99.958
172,2010,G41005100002004,0.04
181,2010,G41005100002004,91.174
190,2010,G41005100002004,8.784
432,2010,G41005100002004,0.002
350,2010,G41005100011021,100
324,2010,G41005100056003,100
72,2010,G41005100099052,7.635
30,2010,G41005100099052,0.016
422,2010,G41005100099052,92.349
253,2010,G41005100099072,99.653
47,2010,G41005100099072,0.015
56,2010,G41005100099072,0.332
349,2010,G41005100060012,0.032
435,2010,G41005100060012,51.7
332,2010,G41005100060012,2.409
194,2010,G41005100060012,45.854
379,2010,G41005100060012,0.005
99,2010,G41005100104051,100
99,2010,G41005100104052,100
2,2010,G41005100064033,24.657
286,2010,G41005100064033,73.707
343,2010,G41005100064033,0.001
409,2010,G41005100064033,1.635
197,2010,G41005100064021,19.024
286,2010,G41005100064021,0.002
161,2010,G41005100064021,0.111
343,2010,G41005100064021,0
392,2010,G41005100064021,33.238
408,2010,G41005100064021,47.625
101,2010,G41005100100022,0.028
75,2010,G41005100100022,99.677
99,2010,G41005100100022,0.295
342,2010,G41005100098034,25.349
72,2010,G41005100098034,74.422
378,2010,G41005100098034,0.229
173,2010,G41005100078002,38.634
156,2010,G41005100078002,48.244
95,2010,G41005100078002,12.791
298,2010,G41005100078002,0.332
275,2010,G41005100038032,24.826
363,2010,G41005100038032,23.767
364,2010,G41005100038032,25.174
368,2010,G41005100038032,26.234
273,2010,G41005100040024,99.999
272,2010,G41005100040024,0.001
365,2010,G41005100075003,0.01
362,2010,G41005100075003,99.988
381,2010,G41005100075003,0.002
362,2010,G41005100075001,100
347,2010,G41005100003012,0.132
374,2010,G41005100003012,38.054
375,2010,G41005100003012,31.356
407,2010,G41005100003012,6.707
431,2010,G41005100003012,23.75
438,2010,G41005100003012,0
375,2010,G41005100003011,54.793
407,2010,G41005100003011,45.199
438,2010,G41005100003011,0.008
374,2010,G41005100003021,0.011
407,2010,G41005100003021,0.052
431,2010,G41005100003021,99.937
282,2010,G41005100080022,99.982
289,2010,G41005100080022,0
344,2010,G41005100080022,0.017
407,2010,G41005100004014,100
147,2010,G41005100004013,0.039
407,2010,G41005100004013,99.961
147,2010,G41005100088001,100
348,2010,G41005100007013,0.564
436,2010,G41005100007013,99.436
348,2010,G41005100007023,100
95,2010,G41005100077001,74.177
298,2010,G41005100077001,25.823
156,2010,G41005100079002,0.003
298,2010,G41005100079002,99.821
367,2010,G41005100079002,0.176
246,2010,G41005100099073,6.568
253,2010,G41005100099073,6.156
299,2010,G41005100099073,50.633
56,2010,G41005100099073,0.087
71,2010,G41005100099073,27.121
416,2010,G41005100099073,6.254
422,2010,G41005100099073,2.96
43,2010,G41005100099073,0.222
324,2010,G41005100057002,100
372,2010,G41005100082011,0.003
329,2010,G41005100082011,0.023
344,2010,G41005100082011,94.997
314,2010,G41005100082011,4.977
372,2010,G41005100082021,13.259
329,2010,G41005100082021,47.409
344,2010,G41005100082021,39.332
322,2010,G41005100005025,0.381
348,2010,G41005100005025,99.619
322,2010,G41005100005024,99.989
348,2010,G41005100005024,0.011
380,2010,G41005100084002,0.004
437,2010,G41005100084002,99.996
68,2010,G41005100006014,99.869
348,2010,G41005100006014,0.131
68,2010,G41005100006024,99.967
322,2010,G41005100006024,0.033
281,2010,G41005100028023,100
351,2010,G41005100008014,100
438,2010,G41005100008014,0
351,2010,G41005100008012,32.364
325,2010,G41005100008012,0.1
348,2010,G41005100008012,0.368
436,2010,G41005100008012,67.168
173,2010,G41005100029024,67.315
281,2010,G41005100029024,32.234
331,2010,G41005100029024,0.451
173,2010,G41005100029023,56.64
317,2010,G41005100029023,24.419
331,2010,G41005100029023,18.941
344,2010,G41005100093011,0.004
323,2010,G41005100093011,0
36,2010,G41005100093011,90.283
101,2010,G41005100093011,0.001
418,2010,G41005100093011,7.774
323,2010,G41005100093013,91.632
342,2010,G41005100093013,0.5
101,2010,G41005100093013,7.869
328,2010,G41005100013021,0.105
351,2010,G41005100013021,99.895
328,2010,G41005100014003,0.043
351,2010,G41005100014003,99.657
325,2010,G41005100014003,0.3
365,2010,G41005100031002,99.982
381,2010,G41005100031002,0.004
383,2010,G41005100031002,0.014
280,2010,G41005100031004,0.014
383,2010,G41005100031004,99.986
101,2010,G41005100096031,0.008
77,2010,G41005100096031,99.992
296,2010,G41005100096031,0
101,2010,G41005100101004,0.081
75,2010,G41005100101004,0.007
99,2010,G41005100101004,99.912
325,2010,G41005100016011,0.004
314,2010,G41005100016011,99.996
325,2010,G41005100016013,33.836
314,2010,G41005100016013,65.952
436,2010,G41005100016013,0.212
368,2010,G41005100034023,0.005
384,2010,G41005100034023,99.995
365,2010,G41005100036022,100
365,2010,G41005100036032,99.863
362,2010,G41005100036032,0.137
320,2010,G41005100017015,9.119
325,2010,G41005100017015,31.797
314,2010,G41005100017015,59.084
325,2010,G41005100017013,0.001
314,2010,G41005100017013,99.999
269,2010,G41005100038023,0.017
363,2010,G41005100038023,99.983
283,2010,G41005100043001,0.068
274,2010,G41005100043001,27.382
273,2010,G41005100043001,0.321
271,2010,G41005100043001,0.333
353,2010,G41005100043001,15.433
40,2010,G41005100043001,0.659
357,2010,G41005100043001,47.3
358,2010,G41005100043001,0.161
364,2010,G41005100043001,0.133
371,2010,G41005100043001,0.067
428,2010,G41005100043001,8.144
315,2010,G41005100018022,0
328,2010,G41005100018022,30.742
320,2010,G41005100018022,0.002
325,2010,G41005100018022,69.256
273,2010,G41005100039014,0.012
272,2010,G41005100039014,69.76
269,2010,G41005100039014,30.221
363,2010,G41005100039014,0.006
229,2010,G41005100070003,0.2
428,2010,G41005100070003,98.797
442,2010,G41005100070003,0
280,2010,G41005100025012,0
370,2010,G41005100025012,0
318,2010,G41005100025012,0.526
383,2010,G41005100025012,99.474
278,2010,G41005100025024,99.981
312,2010,G41005100025024,0.019
40,2010,G41005100072011,0.353
411,2010,G41005100072011,66.926
68,2010,G41005100089021,99.718
137,2010,G41005100089021,0.063
