GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,GEOID10
"G53003300207001","2010","Washington","53","King County","033","020700","1",1062.00,1062,1062,1119,"530330207001"
"G53003300207002","2010","Washington","53","King County","033","020700","2",1100.00,1100,1100,1267,"530330207002"
"G53003300207003","2010","Washington","53","King County","033","020700","3",1140.00,1140,1140,1183,"530330207003"
"G53003300208001","2010","Washington","53","King County","033","020800","1",1239.00,1239,1239,1194,"530330208001"
"G53003300208002","2010","Washington","53","King County","033","020800","2",1294.00,1294,1294,1245,"530330208002"
"G53003300208003","2010","Washington","53","King County","033","020800","3",1057.00,1057,1057,979,"530330208003"
"G53003300208004","2010","Washington","53","King County","033","020800","4",911.00,911,911,891,"530330208004"
"G53003300209001","2010","Washington","53","King County","033","020900","1",1459.00,1459,1459,1524,"530330209001"
"G53003300209002","2010","Washington","53","King County","033","020900","2",1008.00,1008,1008,910,"530330209002"
"G53003300209003","2010","Washington","53","King County","033","020900","3",700.00,700,700,806,"530330209003"
"G53003300210001","2010","Washington","53","King County","033","021000","1",1105.00,1105,1105,1039,"530330210001"
"G53003300210002","2010","Washington","53","King County","033","021000","2",1047.00,1047,1047,1127,"530330210002"
"G53003300210003","2010","Washington","53","King County","033","021000","3",1365.00,1365,1365,1331,"530330210003"
"G53003300210004","2010","Washington","53","King County","033","021000","4",1110.00,1110,1110,1076,"530330210004"
"G53003300210005","2010","Washington","53","King County","033","021000","5",1072.00,1072,1072,1021,"530330210005"
"G53003300211001","2010","Washington","53","King County","033","021100","1",1535.00,1535,1535,1495,"530330211001"
"G53003300211002","2010","Washington","53","King County","033","021100","2",1153.00,1153,1153,1130,"530330211002"
"G53003300211003","2010","Washington","53","King County","033","021100","3",1347.00,1347,1347,1500,"530330211003"
"G53003300211004","2010","Washington","53","King County","033","021100","4",19.00,19,19,0,"530330211004"
"G53003300213001","2010","Washington","53","King County","033","021300","1",1647.06,1505,1652,1397,"530330213001"
"G53003300213002","2010","Washington","53","King County","033","021300","2",1203.05,1194,1216,1115,"530330213002"
"G53003300213003","2010","Washington","53","King County","033","021300","3",1321.89,1304,1473,1247,"530330213003"
"G53003300214001","2010","Washington","53","King County","033","021400","1",1023.00,1023,1023,979,"530330214001"
"G53003300214002","2010","Washington","53","King County","033","021400","2",1592.00,1592,1592,1544,"530330214002"
"G53003300214003","2010","Washington","53","King County","033","021400","3",1200.00,1200,1200,1167,"530330214003"
"G53003300215001","2010","Washington","53","King County","033","021500","1",1064.00,1064,1064,982,"530330215001"
